Year,Player_Name,Matches_Batted,Not_Outs,Runs_Scored,Highest_Score,Batting_Average,Balls_Faced,Batting_Strike_Rate,Centuries,Half_Centuries,Fours,Sixes,Catches_Taken,Stumpings,Matches_Bowled,Balls_Bowled,Runs_Conceded,Wickets_Taken,Bowling_Average,Economy_Rate,Bowling_Strike_Rate,Four_Wicket_Hauls,Five_Wicket_Hauls,Most_Wickets_in_Match,Runs_in_Best_Bowling_Match
2012.0,Rohit Sharma,17.0,2.0,433.0,109.0,30.92,342.0,126.6,1.0,3.0,39.0,18.0,13.0,0.0,17.0,6.0,16.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,16.0
2011.0,Rohit Sharma,16.0,3.0,372.0,87.0,33.81,297.0,125.25,0.0,3.0,32.0,13.0,7.0,0.0,16.0,48.0,53.0,0.0,0.0,13.25,0.0,0.0,0.0,0.0,14.0
2010.0,Rohit Sharma,16.0,2.0,404.0,73.0,28.85,302.0,133.77,0.0,3.0,36.0,14.0,9.0,0.0,16.0,114.0,153.0,2.0,76.5,8.05,57.0,0.0,0.0,1.0,19.0
2009.0,Rohit Sharma,16.0,3.0,362.0,52.0,27.84,315.0,114.92,0.0,1.0,22.0,18.0,5.0,0.0,16.0,138.0,161.0,11.0,14.63,7.0,12.54,1.0,0.0,4.0,6.0
2008.0,Rohit Sharma,13.0,1.0,404.0,76.0,36.72,273.0,147.98,0.0,4.0,38.0,19.0,8.0,0.0,13.0,24.0,25.0,1.0,25.0,6.25,24.0,0.0,0.0,1.0,25.0
2024.0,Romario Shepherd,6.0,3.0,57.0,39.0,28.5,21.0,271.43,0.0,0.0,5.0,5.0,0.0,0.0,6.0,72.0,159.0,1.0,159.0,13.25,72.0,0.0,0.0,1.0,54.0
2023.0,Romario Shepherd,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022.0,Romario Shepherd,3.0,1.0,58.0,26.0,29.0,41.0,141.46,0.0,0.0,2.0,5.0,0.0,0.0,3.0,54.0,98.0,3.0,32.67,10.89,18.0,0.0,0.0,2.0,42.0
2024.0,Rovman Powell,9.0,1.0,103.0,27.0,17.17,68.0,151.47,0.0,0.0,10.0,6.0,8.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023.0,Rovman Powell,3.0,0.0,7.0,4.0,2.33,9.0,77.78,0.0,0.0,1.0,0.0,0.0,0.0,3.0,12.0,18.0,1.0,18.0,9.0,12.0,0.0,0.0,1.0,18.0
